CARRIER,CUSTOMER Gender,LOCATION,MODE,PRODUCT,PRODUCT TYPE,ROUTE,SUPPLIER,AVAILABILITY (PCT),DEFECT RATE (PCT),ORDERS,PRICE,PRODUCTION,PRODUCTS SOLD,REVENUE,STOCK LEVEL,Shipping costs,Year of Transaction
CARRIER A,FEMALE,BANGALORE,ROAD,SKU71,COSMETICS,ROUTE A,SUPPLIER 2,14,2.078750608,26,6.38,258.00,637.00,8180.337085,76,9,2024
CARRIER A,FEMALE,DELHI,RAIL,SKU50,COSMETICS,ROUTE B,SUPPLIER 2,91,4.754800805,82,14.20,306.00,633.00,5910.88539,31,6,2023
CARRIER A,FEMALE,DELHI,RAIL,SKU74,HAIRCARE,ROUTE A,SUPPLIER 4,64,0.396612724,1,3.17,919.00,904.00,5709.945296,41,5,2024
CARRIER A,FEMALE,KOLKATA,AIR,SKU11,SKINCARE,ROUTE A,SUPPLIER 2,95,0.021169821,60,90.64,362.00,960.00,6099.944116,46,5,2023
CARRIER A,FEMALE,KOLKATA,AIR,SKU39,SKINCARE,ROUTE B,SUPPLIER 2,26,1.451972204,34,19.13,791.00,176.00,1912.465663,78,6,2024
CARRIER A,FEMALE,KOLKATA,ROAD,SKU66,SKINCARE,ROUTE A,SUPPLIER 5,52,3.448063288,19,26.03,867.00,704.00,8367.721618,13,2,2023
CARRIER A,FEMALE,KOLKATA,SEA,SKU37,SKINCARE,ROUTE A,SUPPLIER 3,5,2.610288085,21,23.40,867.00,963.00,2438.33993,25,2,2024
CARRIER A,FEMALE,MUMBAI,ROAD,SKU1,SKINCARE,ROUTE B,SUPPLIER 3,95,4.854068026,37,14.84,517.00,736.00,7460.900065,53,10,2023
CARRIER A,MALE,BANGALORE,RAIL,SKU76,HAIRCARE,ROUTE A,SUPPLIER 2,23,2.180037452,22,69.11,985.00,241.00,5328.375984,38,7,2024
CARRIER A,MALE,BANGALORE,ROAD,SKU13,SKINCARE,ROUTE B,SUPPLIER 5,5,1.63107423,48,16.16,173.00,249.00,4052.738416,80,10,2023
CARRIER A,MALE,BANGALORE,ROAD,SKU51,HAIRCARE,ROUTE A,SUPPLIER 5,61,1.772951172,52,26.70,673.00,154.00,9866.465458,100,5,2024
CARRIER A,MALE,CHENNAI,SEA,SKU87,HAIRCARE,ROUTE B,SUPPLIER 3,24,3.693737788,55,80.41,523.00,79.00,5133.846701,5,7,2023
CARRIER A,MALE,DELHI,SEA,SKU55,HAIRCARE,ROUTE B,SUPPLIER 2,16,4.548919659,11,79.86,918.00,701.00,2925.67517,97,5,2024
CARRIER A,MALE,MUMBAI,ROAD,SKU97,HAIRCARE,ROUTE A,SUPPLIER 4,56,3.376237835,4,3.53,535.00,62.00,4370.91658,46,8,2023
